abilityId,choiceType,weight
Abl_P_FireBottle_G2,Ability,[534;800;840;899;934]
Abl_P_FireBottle_G3,Ability,[134;200;280;385;467]
Abl_P_FireBottlePlus_G2,Ability,[534;800;840;899;934]
Abl_P_FireBottlePlus_G3,Ability,[134;200;280;385;467]
Abl_P_IceBottle_G1,Ability,[9334;6000;3360;2567;1867]
Abl_P_IceBottle_G2,Ability,[534;800;840;899;934]
Abl_P_IceBottle_G3,Ability,[134;200;280;385;467]
Abl_P_IceBottleEnergyDrink_G2,Ability,[534;800;840;899;934]
Abl_P_IceBottleEnergyDrink_G3,Ability,[134;200;280;385;467]
Abl_P_BombChili_G1,Ability,[700;1200;1152;880;640]
Abl_P_BombChili_G2,Ability,[40;160;288;308;320]
Abl_P_BombChili_G3,Ability,[10;37;88;120;146]
Abl_P_BombChiliEnergyDrink_G2,Ability,[40;160;288;308;320]
Abl_P_BombChiliEnergyDrink_G3,Ability,[10;37;88;120;146]
Abl_P_EnergyDrink_G1,Ability,[700;1200;1152;880;640]
Abl_P_EnergyDrink_G2,Ability,[40;160;288;308;320]
Abl_P_EnergyDrink_G3,Ability,[10;37;88;120;146]
Abl_P_EnergyDrinkMintCandy_G2,Ability,[40;160;288;308;320]
Abl_P_EnergyDrinkMintCandy_G3,Ability,[10;37;88;120;146]
Abl_P_CoconutShield_G1,Ability,[700;1200;1152;880;640]
Abl_P_CoconutShield_G2,Ability,[40;160;288;308;320]
Abl_P_CoconutShield_G3,Ability,[10;37;88;120;146]
Abl_P_CoconutBombChili_G2,Ability,[40;160;288;308;320]
Abl_P_CoconutBombChili_G3,Ability,[10;37;88;120;146]
Abl_P_Meat_G1,Ability,[700;1200;1152;880;640]
Abl_P_Meat_G2,Ability,[40;160;288;308;320]
Abl_P_Meat_G3,Ability,[10;37;88;120;146]
Abl_P_MeatCoconutShield_G2,Ability,[40;160;288;308;320]
Abl_P_MeatCoconutShield_G3,Ability,[10;37;88;120;146]
Abl_P_MintCandy_G1,Ability,[700;1200;1152;880;640]
Abl_P_MintCandy_G2,Ability,[40;160;288;308;320]
Abl_P_MintCandy_G3,Ability,[10;37;88;120;146]
Abl_P_MintCandyMeat_G2,Ability,[40;160;288;308;320]
Abl_P_MintCandyMeat_G3,Ability,[10;37;88;120;146]
Abl_P_SnackSet_G3,Ability,[10;37;88;120;146]
Passive_P_MainWeaponEnhance_G1,Passive,[0;750;1200;1125;1000]
Passive_P_MainWeaponEnhance_G2,Passive,[0;160;480;630;800]
Passive_P_MainWeaponBottleEnhance_G3,Passive,[0;53;211;356;527]
Passive_P_MainWeaponBombChili_G1,Passive,[0;750;1200;1125;1000]
Passive_P_MainWeaponBombChili_G3,Passive,[0;53;211;356;527]
Passive_P_MainWeaponKnife_G1,Passive,[0;750;1200;1125;1000]
Passive_P_MainWeaponKnife_G2,Passive,[0;160;480;630;800]
Passive_P_MainWeaponBoots_G1,Passive,[0;750;1200;1125;1000]
Passive_P_MainWeaponBoots_G2,Passive,[0;160;480;630;800]
Passive_P_MainWeaponBurningOil_G1,Passive,[0;750;1200;1125;1000]
Passive_P_MainWeaponBurningOil_G3,Passive,[0;53;211;356;527]
Passive_P_TeaForkEnhance_G1,Passive,[0;750;1200;1125;1000]
Passive_P_TeaForkEnhance_G2,Passive,[0;160;480;630;800]
Passive_P_TeaForkMainWeapon_G3,Passive,[0;53;211;356;527]
Passive_P_TeaForkPepperShaker_G1,Passive,[0;750;1200;1125;1000]
Passive_P_TeaForkPepperShaker_G2,Passive,[0;160;480;630;800]
Passive_P_TeaForkTomato_G1,Passive,[0;750;1200;1125;1000]
Passive_P_TeaForkTomato_G2,Passive,[0;160;480;630;800]
Passive_P_TeaForkKettle_G1,Passive,[0;750;1200;1125;1000]
Passive_P_TeaForkKettle_G3,Passive,[0;53;211;356;527]
Passive_P_TeaForkFreeze_G1,Passive,[0;750;1200;1125;1000]
Passive_P_TeaForkFreeze_G3,Passive,[0;53;211;356;527]
Passive_P_BottleEnhance_G1,Passive,[0;750;1200;1125;1000]
Passive_P_BottleEnhance_G2,Passive,[0;160;480;630;800]
Passive_P_BottleTeaForkEnhance_G3,Passive,[0;53;211;356;527]
Passive_P_BottleCookingTimer_G1,Passive,[0;750;1200;1125;1000]
Passive_P_BottleCookingTimer_G2,Passive,[0;160;480;630;800]
Passive_P_BottleCookingHat_G1,Passive,[0;750;1200;1125;1000]
Passive_P_BottleCookingHat_G2,Passive,[0;160;480;630;800]
Passive_P_BottleKettle_G1,Passive,[0;750;1200;1125;1000]
Passive_P_BottleKettle_G3,Passive,[0;53;211;356;527]
Passive_P_BottleStickyJam_G1,Passive,[0;750;1200;1125;1000]
Passive_P_BottleStickyJam_G3,Passive,[0;53;211;356;527]
Passive_P_FreezeBonus_G2,Passive,[0;160;480;630;800]
Passive_P_FreezeBonus_G3,Passive,[0;53;211;356;527]
Passive_P_FreezeKettle_G2,Passive,[0;160;480;630;800]
Passive_P_FreezeKettle_G3,Passive,[0;53;211;356;527]
Passive_P_BurningOilBonus_G2,Passive,[0;160;480;630;800]
Passive_P_BurningOilBonus_G3,Passive,[0;53;211;356;527]
Passive_P_BurningOilKettle_G2,Passive,[0;160;480;630;800]
Passive_P_BurningOilKettle_G3,Passive,[0;53;211;356;527]
Passive_P_StickyJamBonus_G2,Passive,[0;160;480;630;800]
Passive_P_StickyJamBonus_G3,Passive,[0;53;211;356;527]
Passive_P_StickyJamBurningOil_G2,Passive,[0;160;480;630;800]
Passive_P_StickyJamBurningOil_G3,Passive,[0;53;211;356;527]
Passive_P_KettleEnhance_G2,Passive,[0;160;480;630;800]
Passive_P_KettleEnhance_G3,Passive,[0;53;211;356;527]
Passive_P_KettleStickyJam_G2,Passive,[0;160;480;630;800]
Passive_P_KettleStickyJam_G3,Passive,[0;53;211;356;527]
Passive_P_KettleBonus_G2,Passive,[0;160;480;630;800]
Passive_P_KettleBonus_G3,Passive,[0;53;211;356;527]
Passive_P_BombChiliBonus_G2,Passive,[0;160;480;630;800]
Passive_P_BombChiliBonus_G3,Passive,[0;53;211;356;527]
Passive_P_BombChiliBurningOil_G2,Passive,[0;160;480;630;800]
Passive_P_BombChiliMintCandy_G1,Passive,[0;750;1200;1125;1000]
Passive_P_BombChiliMintCandy_G2,Passive,[0;160;480;630;800]
Passive_P_CoconutShieldEnergyDrink_G1,Passive,[0;750;1200;1125;1000]
Passive_P_CoconutShieldEnergyDrink_G2,Passive,[0;160;480;630;800]
Passive_P_EnergyDrinkMeat_G1,Passive,[0;750;1200;1125;1000]
Passive_P_EnergyDrinkMeat_G2,Passive,[0;160;480;630;800]
Passive_P_MeatBombChili_G1,Passive,[0;750;1200;1125;1000]
Passive_P_MeatBombChili_G2,Passive,[0;160;480;630;800]
Passive_P_MintCandyCoconutShield_G1,Passive,[0;750;1200;1125;1000]
Passive_P_MintCandyCoconutShield_G2,Passive,[0;160;480;630;800]
